Id,Name,Canonical,Region,Country,Country Code
"20970","Sverdlovsk Oblast","Sverdlovsk Oblast,Russia","","Russia","ru"
"20971","Republic of Tatarstan","Republic of Tatarstan,Russia","","Russia","ru"
"20972","Tambov Oblast","Tambov Oblast,Russia","","Russia","ru"
"20974","Tomsk Oblast","Tomsk Oblast,Russia","","Russia","ru"
"20975","Tula Oblast","Tula Oblast,Russia","","Russia","ru"
"20976","Tver Oblast","Tver Oblast,Russia","","Russia","ru"
"20977","Tyumen Oblast","Tyumen Oblast,Russia","","Russia","ru"
"20978","Udmurt Republic","Udmurt Republic,Russia","","Russia","ru"
"20979","Ulyanovsk Oblast","Ulyanovsk Oblast,Russia","","Russia","ru"
"20980","Volgograd Oblast","Volgograd Oblast,Russia","","Russia","ru"
"20981","Vladimir Oblast","Vladimir Oblast,Russia","","Russia","ru"
"20982","Vologda Oblast","Vologda Oblast,Russia","","Russia","ru"
"20983","Voronezh Oblast","Voronezh Oblast,Russia","","Russia","ru"
"20984","Yamalo-Nenets Autonomous Okrug","Yamalo-Nenets Autonomous Okrug,Russia","","Russia","ru"
"20985","Yaroslavl Oblast","Yaroslavl Oblast,Russia","","Russia","ru"
"21109","Vinnytsia Oblast","Vinnytsia Oblast,Ukraine","","Ukraine","ua"
"21110","Volyn Oblast","Volyn Oblast,Ukraine","","Ukraine","ua"
"21112","Dnipropetrovsk Oblast","Dnipropetrovsk Oblast,Ukraine","","Ukraine","ua"
"21114","Zhytomyr Oblast","Zhytomyr Oblast,Ukraine","","Ukraine","ua"
"21115","Zakarpattia Oblast","Zakarpattia Oblast,Ukraine","","Ukraine","ua"
"21116","Zaporizhia Oblast","Zaporizhia Oblast,Ukraine","","Ukraine","ua"
"21117","Ivano-Frankivsk Oblast","Ivano-Frankivsk Oblast,Ukraine","","Ukraine","ua"
"21118","Kyiv city","Kyiv city,Ukraine","","Ukraine","ua"
"21119","Kirovohrad Oblast","Kirovohrad Oblast,Ukraine","","Ukraine","ua"
"21121","Lviv Oblast","Lviv Oblast,Ukraine","","Ukraine","ua"
"21122","Odesa Oblast","Odesa Oblast,Ukraine","","Ukraine","ua"
"21123","Poltava Oblast","Poltava Oblast,Ukraine","","Ukraine","ua"
"21124","Sumy Oblast","Sumy Oblast,Ukraine","","Ukraine","ua"
"21125","Kharkiv Oblast","Kharkiv Oblast,Ukraine","","Ukraine","ua"
"21126","Kherson Oblast","Kherson Oblast,Ukraine","","Ukraine","ua"
"21127","Khmelnytskyi Oblast","Khmelnytskyi Oblast,Ukraine","","Ukraine","ua"
"21128","Cherkasy Oblast","Cherkasy Oblast,Ukraine","","Ukraine","ua"
